Iteration	Mach	Pressure [Pa]	Velocity [m/s]	Temperature [K]	Density [kg/m^3]	Speed of Sound [m/s]	Y_O2	Y_N2	Y_H2	Y_OH	Y_O	Y_H	Y_H2O	Y_NO	Y_N	Y_HO2	Y_H2O2	Y_HNO	Y_NO2	Mass flow rate [kg/s]	Area [m^2]	Axial location
99	1.999579	5.951621e+04	1401.64	1312.41	1.564876e-01	700.97	0.208733	0.785529	0.005655	0.000000	0.000000	0.000000	0.000030	0.000000	0.000000	0.000042	0.000012	0.000000	0.000000	877.359576	4.000000	0.000000
100	1.999579	5.951621e+04	1401.64	1312.41	1.564876e-01	700.97	0.208733	0.785529	0.005655	0.000000	0.000000	0.000000	0.000030	0.000000	0.000000	0.000042	0.000012	0.000000	0.000000	877.359576	4.000000	0.000000
101	1.999579	5.951621e+04	1401.64	1312.41	1.564876e-01	700.97	0.208733	0.785529	0.005655	0.000000	0.000000	0.000000	0.000030	0.000000	0.000000	0.000042	0.000012	0.000000	0.000000	877.359576	4.000000	0.000000
102	1.999579	5.951621e+04	1401.64	1312.41	1.564876e-01	700.97	0.208733	0.785529	0.005655	0.000000	0.000000	0.000000	0.000030	0.000000	0.000000	0.000042	0.000012	0.000000	0.000000	877.359576	4.000000	0.000000
103	1.999579	5.951621e+04	1401.64	1312.41	1.564876e-01	700.97	0.208733	0.785529	0.005655	0.000000	0.000000	0.000000	0.000030	0.000000	0.000000	0.000042	0.000012	0.000000	0.000000	877.359576	4.000000	0.000000
104	1.999579	5.951621e+04	1401.64	1312.41	1.564876e-01	700.97	0.208733	0.785529	0.005655	0.000000	0.000000	0.000000	0.000030	0.000000	0.000000	0.000042	0.000012	0.000000	0.000000	877.359576	4.000000	0.000000
105	1.999579	5.951621e+04	1401.64	1312.41	1.564876e-01	700.97	0.208733	0.785529	0.005655	0.000000	0.000000	0.000000	0.000030	0.000000	0.000000	0.000042	0.000012	0.000000	0.000000	877.359576	4.000000	0.000000
106	1.999579	5.951621e+04	1401.64	1312.41	1.564876e-01	700.97	0.208733	0.785529	0.005655	0.000000	0.000000	0.000000	0.000030	0.000000	0.000000	0.000042	0.000012	0.000000	0.000000	877.359589	4.000000	0.000000
107	1.999579	5.951621e+04	1401.64	1312.41	1.564876e-01	700.97	0.208733	0.785529	0.005655	0.000000	0.000000	0.000000	0.000030	0.000000	0.000000	0.000042	0.000012	0.000000	0.000000	877.359576	4.000000	0.000000
108	1.999606	5.951475e+04	1401.65	1312.38	1.564869e-01	700.96	0.208737	0.785529	0.005655	0.000000	0.000000	0.000000	0.000029	0.000000	0.000000	0.000040	0.000011	0.000000	0.000000	877.359576	4.000000	0.000000
109	1.999606	5.951475e+04	1401.65	1312.38	1.564869e-01	700.96	0.208737	0.785529	0.005655	0.000000	0.000000	0.000000	0.000029	0.000000	0.000000	0.000040	0.000011	0.000000	0.000000	877.359576	4.000000	0.000000
